,number_of_qubits,qft_variant,process_fidelity
122,14,QCTRLFowlerQFT,0.5608030371236661
123,14,QCTRLFowlerQFT,0.5631374541827933
124,14,QCTRLFowlerQFT,0.5712823046170041
125,14,QCTRLFowlerQFT,0.5618096896828311
126,14,QCTRLFowlerQFT,0.5709493728808499
127,14,QCTRLFowlerQFT,0.5614787533709172
128,14,QCTRLFowlerQFT,0.5642911541917973
129,14,QCTRLFowlerQFT,0.5559961965710796
130,14,QCTRLFowlerQFT,0.563755321834251
131,14,QCTRLFowlerQFT,0.560382561149529
132,14,QCTRLFowlerQFT,0.5561642789973172
133,14,QCTRLFowlerQFT,0.5689591204981658
134,14,QCTRLFowlerQFT,0.5648415673034867
135,14,QCTRLFowlerQFT,0.5690490386477071
136,14,QCTRLFowlerQFT,0.5649449893288145
137,14,QCTRLFowlerQFT,0.5662663187085596
138,14,QCTRLFowlerQFT,0.5671624853240025
139,14,QCTRLFowlerQFT,0.5597720983270046
140,16,QCTRLFowlerQFT,0.5363896051077154
141,16,QCTRLFowlerQFT,0.527598860255904
142,16,QCTRLFowlerQFT,0.5274315743006909
143,16,QCTRLFowlerQFT,0.5272932378530775
144,16,QCTRLFowlerQFT,0.5232173622087959
145,16,QCTRLFowlerQFT,0.5306589370856255
146,16,QCTRLFowlerQFT,0.5321480341194074
147,16,QCTRLFowlerQFT,0.5219362561514023
148,16,QCTRLFowlerQFT,0.5192124568702761
149,16,QCTRLFowlerQFT,0.5270113454363791
150,16,QCTRLFowlerQFT,0.5277334237424376
151,16,QCTRLFowlerQFT,0.5245575141659716
152,16,QCTRLFowlerQFT,0.5263000424556135
153,16,QCTRLFowlerQFT,0.5249930910246926
154,16,QCTRLFowlerQFT,0.5143959233564103
155,16,QCTRLFowlerQFT,0.5227870080500389
156,16,QCTRLFowlerQFT,0.5257923997152486
157,16,QCTRLFowlerQFT,0.5213826902034854
158,16,QCTRLFowlerQFT,0.5341561728477626
159,16,QCTRLFowlerQFT,0.5257559399033281
160,18,QCTRLFowlerQFT,0.436007322665409
161,18,QCTRLFowlerQFT,0.44674874083744454
162,18,QCTRLFowlerQFT,0.4362965130139254
163,18,QCTRLFowlerQFT,0.43848528178302404
164,18,QCTRLFowlerQFT,0.4426189727307617
165,18,QCTRLFowlerQFT,0.4391664252410737
166,18,QCTRLFowlerQFT,0.45604818940619324
167,18,QCTRLFowlerQFT,0.43103743793263555
168,18,QCTRLFowlerQFT,0.45722768023128274
169,18,QCTRLFowlerQFT,0.43496846214820206
170,18,QCTRLFowlerQFT,0.4289441421025271
171,18,QCTRLFowlerQFT,0.4444255872132091
172,18,QCTRLFowlerQFT,0.4415715626033174
173,18,QCTRLFowlerQFT,0.43686912481843476
174,18,QCTRLFowlerQFT,0.4472879061523894
175,18,QCTRLFowlerQFT,0.44638596243757733
176,18,QCTRLFowlerQFT,0.4356292836618747
177,18,QCTRLFowlerQFT,0.4486194139745378
178,18,QCTRLFowlerQFT,0.4381428473281087
179,18,QCTRLFowlerQFT,0.4332088628677276
180,20,QCTRLFowlerQFT,0.37029682512639966
181,20,QCTRLFowlerQFT,0.36345626417905114
182,20,QCTRLFowlerQFT,0.35482388394272596
183,20,QCTRLFowlerQFT,0.35056905740808825
184,20,QCTRLFowlerQFT,0.3524482261242011
185,20,QCTRLFowlerQFT,0.3546361374820379
186,20,QCTRLFowlerQFT,0.3579514789369955
187,20,QCTRLFowlerQFT,0.35902321287334427
188,20,QCTRLFowlerQFT,0.3565667779443875
189,20,QCTRLFowlerQFT,0.3575804805292104
190,20,QCTRLFowlerQFT,0.36276312662363464
191,20,QCTRLFowlerQFT,0.3619586015353685
192,20,QCTRLFowlerQFT,0.3622362455187371
193,20,QCTRLFowlerQFT,0.36418852241572097
194,20,QCTRLFowlerQFT,0.36033153092983666
195,20,QCTRLFowlerQFT,0.35672811039890867
196,20,QCTRLFowlerQFT,0.35219695811985136
197,20,QCTRLFowlerQFT,0.3643350868125743
198,20,QCTRLFowlerQFT,0.3606715217893897
199,20,QCTRLFowlerQFT,0.36160346150121586
200,22,QCTRLFowlerQFT,0.2573260562863136
201,22,QCTRLFowlerQFT,0.2618202130492295
202,22,QCTRLFowlerQFT,0.25673002648691584
203,22,QCTRLFowlerQFT,0.2605562867778628
204,22,QCTRLFowlerQFT,0.2595766573140637
205,22,QCTRLFowlerQFT,0.2616187442612813
206,22,QCTRLFowlerQFT,0.2639649759949593
207,22,QCTRLFowlerQFT,0.2573757224046633
208,22,QCTRLFowlerQFT,0.2597926772720655
209,22,QCTRLFowlerQFT,0.2554717937047969
210,22,QCTRLFowlerQFT,0.26033451265219865
211,22,QCTRLFowlerQFT,0.26589650882722843
212,22,QCTRLFowlerQFT,0.26148151517605
213,22,QCTRLFowlerQFT,0.26114922695617254
214,22,QCTRLFowlerQFT,0.25788341462651604
215,22,QCTRLFowlerQFT,0.2609401677549622
216,22,QCTRLFowlerQFT,0.263345333022745
217,22,QCTRLFowlerQFT,0.2584757145822715
218,22,QCTRLFowlerQFT,0.2585289369632444
219,22,QCTRLFowlerQFT,0.2558605955760592
220,24,QCTRLFowlerQFT,0.20765418581413805
221,24,QCTRLFowlerQFT,0.20092236258004753
222,24,QCTRLFowlerQFT,0.20233715936701893
223,24,QCTRLFowlerQFT,0.19876784161072322
224,24,QCTRLFowlerQFT,0.2027513971680495
225,24,QCTRLFowlerQFT,0.21049963359929375
226,24,QCTRLFowlerQFT,0.2068588558353885
227,24,QCTRLFowlerQFT,0.20763992442599336
228,24,QCTRLFowlerQFT,0.20665772331661456
229,24,QCTRLFowlerQFT,0.19578893224436417
230,24,QCTRLFowlerQFT,0.20275475366441345
231,24,QCTRLFowlerQFT,0.1965754972459765
232,24,QCTRLFowlerQFT,0.19722825271996247
233,24,QCTRLFowlerQFT,0.21137087749403846
234,24,QCTRLFowlerQFT,0.198395538845531
235,24,QCTRLFowlerQFT,0.20124979572918017
236,24,QCTRLFowlerQFT,0.2079855932517742
237,24,QCTRLFowlerQFT,0.20686683369909636
238,24,QCTRLFowlerQFT,0.20621385289780794
239,24,QCTRLFowlerQFT,0.20213168494714903
240,26,QCTRLFowlerQFT,0.18872120524016048
241,26,QCTRLFowlerQFT,0.19020218071681586
242,26,QCTRLFowlerQFT,0.18733238336865662
243,26,QCTRLFowlerQFT,0.19256855937152612
244,26,QCTRLFowlerQFT,0.19137900594979407
245,26,QCTRLFowlerQFT,0.19337691898797457
246,26,QCTRLFowlerQFT,0.19527435430339488
247,26,QCTRLFowlerQFT,0.19075880533463468
248,26,QCTRLFowlerQFT,0.1918979639724799
249,26,QCTRLFowlerQFT,0.1916354671624441
