number_of_qubits,process_fidelity
2,0.9905239107009352
2,0.9905503713392
2,0.9900656133916732
2,0.9896821996358716
2,0.9904080000991504
2,0.9898590720086806
2,0.9907184865928244
2,0.9895957642112234
2,0.9899188636569431
2,0.9906215920769872
2,0.9900677024277396
2,0.9891238845220148
2,0.990012462645928
2,0.9912611308759328
2,0.9903027704580434
2,0.9894876309686668
2,0.989530984735345
2,0.9897163610515716
2,0.989758674536155
2,0.9900413709318427
4,0.9464947194132988
4,0.9492932408880465
4,0.9463201771731964
4,0.949087349148498
4,0.9455519663894044
4,0.9453384648323392
4,0.9446739023128012
4,0.9466069898293824
4,0.9468767394315688
4,0.947142123396089
4,0.9468343535612084
4,0.9479464238122104
4,0.9476939813100584
4,0.9474659036675908
4,0.9474234335501732
4,0.947297006753784
4,0.948913039425861
4,0.9475892239388322
4,0.9484579406057524
4,0.9464555479854292
6,0.907824341294709
6,0.9066566702103624
6,0.9097035396787552
6,0.9108041315298248
6,0.9071938872014024
6,0.908678921756692
6,0.9127534282487924
6,0.9113528702223284
6,0.9080245104596784
6,0.9116683398088828
6,0.910121446328322
6,0.908123670033814
6,0.9103677425823032
6,0.9094891795124016
6,0.911736868442564
6,0.9088238908589203
6,0.9098921875598224
6,0.909421123272237
6,0.9071190023082888
6,0.9082250353089492
8,0.8495023715554897
8,0.8421989570324342
8,0.8427457163420259
8,0.8392171743719661
8,0.8423979922434144
8,0.8461835298498046
8,0.8410050919761785
8,0.8389351729624359
8,0.8460660072839336
8,0.8482600851658156
8,0.8404447558062537
8,0.8453034109363103
8,0.8447324827229803
8,0.8456456366382914
8,0.8417862387629168
8,0.8461310058986916
8,0.8482982942639864
8,0.84610623204527
8,0.8442843997365421
8,0.843502205271015
10,0.7749480297259443
10,0.7673464393728828
10,0.7729865958716501
10,0.7758644868624311
10,0.7782153168588304
10,0.774007432476968
10,0.7688620199631576
10,0.7759839885474619
10,0.7710595830442589
10,0.771963021308265
10,0.7737811314507734
10,0.7740497319495919
10,0.7704478446613595
10,0.7719643336604273
10,0.7750995883868675
10,0.7721707511169795
10,0.7745414721755322
10,0.7700335440026987
10,0.768659498945056
10,0.7747673125172037
12,0.6933178333716759
12,0.6856002847080876
12,0.6879322420416332
12,0.6961310086895786
12,0.7012589531082477
12,0.689342140070784
12,0.7015402221762259
12,0.6969064579801482
12,0.6976581358898417
12,0.7080693253230098
12,0.6880055599450097
12,0.698719333898043
12,0.701465156051657
12,0.7099230561990367
12,0.6943769872069627
12,0.6820267408507534
12,0.705146885017694
12,0.6834449573296595
12,0.702580755724264
12,0.7016438014165257
14,0.6086553080982389
14,0.6169231894984769
14,0.607835880908121
14,0.6104085158164885
14,0.6162601594608009
14,0.6147370858359005
14,0.6119793670763405
14,0.6056136548245767
14,0.6050021482653198
14,0.6162709771009006
14,0.6041749913476709
14,0.608293532972396
14,0.6156432476050888
14,0.6023297336036235
14,0.612205166199351
14,0.6095388840066869
14,0.6109021080780385
14,0.6055459179766203
14,0.6112854555986389
14,0.6005992913396084
16,0.5617555751855561
16,0.5661815363853964
16,0.5594061851256874
16,0.5662041841551836
16,0.5578642709866164
16,0.5673699911006352
16,0.5650158212821783
16,0.5810057876368359
16,0.5613947873313838
16,0.5678035758231661
16,0.5705667905552064
16,0.5691210927507924
16,0.5664364698626964
16,0.5609959036402796
16,0.5598629135578158
16,0.5667680940421883
16,0.5612521755526894
16,0.5666010146940729
16,0.5740623255063955
16,0.565613862908888
18,0.48237913976754
18,0.4923693411284882
18,0.48765211828277
18,0.487304836251931
18,0.4741692804865882
18,0.4677600226884895
18,0.4903683408303049
18,0.4912419965208789
18,0.485576735521691
18,0.4775392124117122
18,0.4838884632751191
18,0.4719345946703452
18,0.4897770450513128
18,0.4897426720913976
18,0.4965625488176379
18,0.4840923502206335
18,0.4901206693893296
18,0.4907938227099027
18,0.4957099550691974
18,0.4784514602292147
20,0.4325529059703072
20,0.4375398902713643
20,0.4388656569475251
20,0.4309079017990262
20,0.4240814477677572
20,0.4259796810596794
20,0.4197032307247954
20,0.4246357395245812
