number_of_qubits,process_fidelity
2,0.9842272867132504
2,0.9843274277760002
2,0.9835744537559674
2,0.9834016013712956
2,0.9842772936851446
2,0.9845279673100358
2,0.9833769953028796
2,0.9821694425796992
2,0.9841279934951228
2,0.9855137078766416
2,0.9829413607918543
2,0.9834150221158297
2,0.9842485938590356
2,0.9841796542667895
2,0.9841881775767656
2,0.9836496767482192
2,0.9828382471404205
2,0.9838263096025052
2,0.9836957916424398
2,0.9842557602950344
4,0.9338368489649076
4,0.9295820783853668
4,0.936057581977386
4,0.9350678500252172
4,0.9349175551306168
4,0.9365092318623276
4,0.934643657544671
4,0.934443724980356
4,0.9336769505975364
4,0.9356825730524364
4,0.9345937047914368
4,0.9334734115800952
4,0.9303227315948854
4,0.9351668015043266
4,0.9282384929470306
4,0.9376761366132856
4,0.9335644853755805
4,0.9352913313591064
4,0.9325962966883004
4,0.9287529900610084
6,0.8956593812889605
6,0.9037753236256232
6,0.894132750783947
6,0.890764506764096
6,0.8952079211094152
6,0.9010146050939156
6,0.89925519106869
6,0.8992153110531693
6,0.903072909126362
6,0.9045771172952972
6,0.9065227161578155
6,0.9019101167364776
6,0.8968664314497654
6,0.8998582446820068
6,0.8886756443797029
6,0.898704064324147
6,0.8994164118485651
6,0.8980649983707801
6,0.8945080905484216
6,0.901089841990142
8,0.818276561503689
8,0.8162245477764063
8,0.8174506895062357
8,0.8181259905410063
8,0.8181146070601248
8,0.8087280894503671
8,0.8213365600709496
8,0.8099335412143197
8,0.8150423973753975
8,0.8085430108797804
8,0.8121177219185626
8,0.8146400078280137
8,0.8170415820713886
8,0.822537284564051
8,0.819318881576389
8,0.813049938178372
8,0.8148789234266376
8,0.8169128557248138
8,0.8128385277861224
8,0.8157599361122188
10,0.7374565344587911
10,0.7336141218618489
10,0.7345130204986963
10,0.7408625403212119
10,0.7380662340257832
10,0.7422306722102867
10,0.7335280628764834
10,0.7393648242593573
10,0.7372154650067285
10,0.7414981539797915
10,0.7358055654663308
10,0.734968228562345
10,0.7355670702317852
10,0.7431726143859174
10,0.7334175167597405
10,0.7281800957039468
10,0.7405399245458839
10,0.7398511113032014
10,0.7382821099513539
10,0.7375148898679024
12,0.6565704685781538
12,0.668734598536041
12,0.6598824426299293
12,0.6627380946201532
12,0.6571395096767764
12,0.6558589980835738
12,0.6614209236237318
12,0.6531845991455777
12,0.6609123133235968
12,0.6664661053593283
12,0.6586329779314383
12,0.6555750336987796
12,0.6607176822213872
12,0.6560619438099717
12,0.6583956394911263
12,0.659306570081333
12,0.6608506090843731
12,0.6635113078054445
12,0.6573721067298354
12,0.6599245445617716
14,0.5616317404567286
14,0.5617726203538467
14,0.5608030371236661
14,0.5631374541827933
14,0.5712823046170041
14,0.5618096896828311
14,0.5709493728808499
14,0.5614787533709172
14,0.5642911541917973
14,0.5559961965710796
14,0.563755321834251
14,0.560382561149529
14,0.5561642789973172
14,0.5689591204981658
14,0.5648415673034867
14,0.5690490386477071
14,0.5649449893288145
14,0.5662663187085596
14,0.5671624853240025
14,0.5597720983270046
16,0.5363896051077154
16,0.527598860255904
16,0.5274315743006909
16,0.5272932378530775
16,0.5232173622087959
16,0.5306589370856255
16,0.5321480341194074
16,0.5219362561514023
16,0.5192124568702761
16,0.5270113454363791
16,0.5277334237424376
16,0.5245575141659716
16,0.5263000424556135
16,0.5249930910246926
16,0.5143959233564103
16,0.5227870080500389
16,0.5257923997152486
16,0.5213826902034854
16,0.5341561728477626
16,0.5257559399033281
18,0.436007322665409
18,0.4467487408374445
18,0.4362965130139254
18,0.438485281783024
18,0.4426189727307617
18,0.4391664252410737
18,0.4560481894061932
18,0.4310374379326355
18,0.4572276802312827
18,0.434968462148202
18,0.4289441421025271
18,0.4444255872132091
18,0.4415715626033174
18,0.4368691248184347
18,0.4472879061523894
18,0.4463859624375773
18,0.4356292836618747
18,0.4486194139745378
18,0.4381428473281087
18,0.4332088628677276
20,0.3702968251263996
20,0.3634562641790511
20,0.3548238839427259
20,0.3505690574080882
20,0.3524482261242011
20,0.3546361374820379
20,0.3579514789369955
20,0.3590232128733442
20,0.3565667779443875
20,0.3575804805292104
20,0.3627631266236346
20,0.3619586015353685
20,0.3622362455187371
20,0.3641885224157209
20,0.3603315309298366
20,0.3567281103989086
20,0.3521969581198513
20,0.3643350868125743
20,0.3606715217893897
20,0.3616034615012158
22,0.2573260562863136
22,0.2618202130492295
22,0.2567300264869158
22,0.2605562867778628
22,0.2595766573140637
22,0.2616187442612813
22,0.2639649759949593
22,0.2573757224046633
22,0.2597926772720655
22,0.2554717937047969
22,0.2603345126521986
22,0.2658965088272284
22,0.26148151517605
22,0.2611492269561725
22,0.257883414626516
22,0.2609401677549622
22,0.263345333022745
22,0.2584757145822715
22,0.2585289369632444
22,0.2558605955760592
24,0.207654185814138
24,0.2009223625800475
24,0.2023371593670189
24,0.1987678416107232
24,0.2027513971680495
24,0.2104996335992937
24,0.2068588558353885
24,0.2076399244259933
24,0.2066577233166145
24,0.1957889322443641
24,0.2027547536644134
24,0.1965754972459765
24,0.1972282527199624
24,0.2113708774940384
24,0.198395538845531
24,0.2012497957291801
24,0.2079855932517742
24,0.2068668336990963
24,0.2062138528978079
24,0.202131684947149
26,0.1887212052401604
26,0.1902021807168158
26,0.1873323833686566
26,0.1925685593715261
26,0.191379005949794
26,0.1933769189879745
26,0.1952743543033948
26,0.1907588053346346
26,0.1918979639724799
26,0.1916354671624441
26,0.1830567280589769
26,0.1897547666878783
26,0.1883484053870031
26,0.186899820757484
26,0.186621288340486
26,0.1922418666813909
26,0.1914245542752243
26,0.1886757384861786
26,0.1877310820987144
26,0.1920641086578288
28,0.1358450123506246
28,0.1364867401000251
28,0.1382459362864745
28,0.1354918559154778
28,0.1406906862362137
28,0.1377710108649806
28,0.1334760005575554
28,0.1427342490859234
28,0.1378196460472354
28,0.1373259057697534
28,0.135860413587778
28,0.1412141174801453
28,0.1365958116195849
28,0.1380420643906433
28,0.1321824524122052
28,0.1337235124161084
28,0.1405644792929829
28,0.1438455929072953
28,0.1413463708817556
28,0.1362130170678313
30,0.0973834706274336
30,0.1000161467113467
30,0.097249830816392
30,0.0935356399332574
30,0.0982398868547268
30,0.0974639304165329
30,0.1039257287141943
30,0.0946994474472538
30,0.0965152587816813
30,0.0953761179263354
30,0.0993560348194506
30,0.1005119740438635
30,0.0929924458993169
30,0.0956043822874701
30,0.097944480401142
30,0.0943511428769312
30,0.0924106635218695
30,0.095176145507106
30,0.0943077143408152
30,0.0951703259102667
32,0.0674241616691214
32,0.0698397068774234
32,0.0701711566401621
32,0.0694756927570001
32,0.0668727552877743
32,0.0661961770578061
32,0.0684445371372175
32,0.0682680366986888
32,0.0639542995961668
32,0.0655687734789235
32,0.0700355395766575
32,0.0670730854699048
32,0.0668415852466527
32,0.0669469845619508
32,0.0688385309186531
32,0.0691348406583604
32,0.0701954977377841
32,0.0682735808772149
32,0.0678804672988152
32,0.0688486185209603
34,0.0417224813422929
34,0.0423960921002686
34,0.0433774156380405
34,0.0428475311730281
34,0.0458816306662045
34,0.0424753210292022
34,0.0427503775583114
34,0.043844061833085
34,0.0430811317032792
34,0.0432875465284573
34,0.043520412434404
34,0.0440304831138815
34,0.0424633352225172
34,0.0449766657533994
34,0.0383752258499228
34,0.0446409643340672
34,0.0399971808827782
34,0.041713295003793
34,0.040201957268135
34,0.0432705717995524
36,0.0329288351679095
36,0.0358098049924545
36,0.0301780744068754
36,0.0344501232509584
36,0.0367186535014884
36,0.0332109760556314
36,0.0348283475584009
36,0.0358886001385623
36,0.0335100112309199
36,0.0360088471484352
36,0.0355671788151088
36,0.0375841568447992
36,0.0313188456028097
36,0.0338646112104365
36,0.034997942793637
36,0.0338192165838519
36,0.0324975237159773
36,0.0335027233365363
36,0.0333623223824383
36,0.0319540139201622
38,0.0194966801540761
38,0.0211575370237393
38,0.020530337607146
38,0.0219946890231427
38,0.0187522351835197
38,0.0199839293619498
38,0.0188795912102676
38,0.0213585620832958
38,0.0218824682322726
38,0.020610765667855
38,0.0203128500694865
38,0.0215018742781201
38,0.0228287207718934
38,0.0189499946217073
38,0.0202835390890328
38,0.0212754990424364
38,0.0204824390577044
38,0.0190004378794897
38,0.0212404908899768
38,0.0205803558414187
40,0.0004725391338279
40,0.0004361861578097
40,0.0003992589587442
40,0.0004469209243172
40,0.0005581121389869
40,0.0004633534125349
40,0.0004229375316377
40,0.0006870041128587
40,0.0012865818880305
40,0.0005445642085713
40,0.0006744548611075
40,0.0003301333341721
40,0.0004931653589888
40,0.0005787675150475
40,0.00064125385821
40,0.0010076678444651
40,0.0008792099196468
40,0.0010273619362143
40,0.0005637905831619
40,0.0007191753279395
42,0.0001592247443172
42,0.0001071721361172
42,4.780215188996687e-05
42,3.058713835828729e-05
42,-2.853163611803959e-22
42,0.0001532173807951
42,3.670078245322188e-05
42,1.7795126520891442e-05
42,0.0
42,4.081680182071807e-05
42,0.0001119732033586
42,6.210102465177307e-06
42,0.0001286854609273
42,0.0002127589203351
42,0.0001406525235626
42,1.7795126520891442e-05
42,7.870464397510924e-06
42,0.0001855795509055
42,-2.2825308894431668e-21
42,7.852699489335444e-05
44,0.0001392677596758
44,0.0003126051544542
44,0.0002685984768336
44,0.0002025424149618
44,7.10464306301601e-05
44,7.026024915164736e-05
44,0.0003043949438314
44,0.0001955316124047
44,0.0001678590853672
44,5.278937007061152e-05
44,0.0003116669062792
44,0.0001341327741746
44,5.2507093560560175e-05
44,8.874915057874805e-05
44,0.0002014120302295
44,6.677581880898558e-05
44,0.000191962973261
44,6.46270770220043e-05
44,0.0001139949246284
44,6.798946882992195e-05
46,0.0003342996608169
46,0.0003944143069002
46,0.0001936616221014
46,6.421155020253608e-05
46,0.0002103582552226
46,0.0001002680102045
46,0.0001176001957362
46,0.0004872167662712
46,0.0006220937018896
46,0.0003292449013222
46,0.0001744344701261
46,0.0002589716223608
46,7.819129285616134e-05
46,0.0001079346892325
46,0.0002041607533866
46,0.0002552209789442
46,0.0002220792721055
46,0.0002645172634662
46,0.0002380596162047
46,0.0003192889379506
48,0.0001649226982133
48,0.0001160342418295
48,0.0002141514277019
48,0.0001484013438485
48,0.0001138077943795
48,0.0002475409974944
48,0.0003120406255
48,0.0002065319718069
48,0.0001502773170106
48,0.0003838870977515
48,0.0001644091220731
48,0.0001234027917498
48,0.0001791696541328
48,0.0001196634695632
48,0.000242176306171
48,0.0002127552962834
48,0.0001450154132399
48,0.0001143411490252
48,0.0003264483159513
48,5.458890182955712e-05
50,2.631906144707703e-06
50,0.0
50,0.0
50,2.631906144707703e-06
50,2.631578947368421e-06
50,0.0
50,2.6322333827290643e-06
50,7.89604567214447e-06
50,0.0
50,2.631906144707703e-06
50,7.896700148187193e-06
50,7.89604567214447e-06
50,2.6322333827290643e-06
50,0.0
50,2.6322333827290643e-06
50,0.0
50,7.895391236783826e-06
50,1.579045527622837e-05
50,1.5792418582310303e-05
50,1.5792418582310303e-05
52,-2.853163611803959e-22
52,-2.853163611803959e-22
52,0.0
52,2.6234514691032677e-06
52,7.88659662599798e-06
52,2.626699912840903e-05
52,-2.853163611803959e-22
52,2.631572578447355e-06
52,-2.853163611803959e-22
52,2.633204342184328e-05
52,0.0
52,0.0
52,1.5813874217397945e-05
52,2.631572578447355e-06
52,0.0
52,0.0
52,2.6234514691032677e-06
52,0.0
52,1.581387421739796e-05
52,0.0
54,0.0
54,2.636631247317713e-06
54,2.637644617241336e-05
54,1.5804630584058402e-05
54,1.5834973483091804e-05
54,0.0
54,1.5804630584058402e-05
54,2.636631247317713e-06
54,7.91495574168165e-06
54,0.0
54,0.0
54,2.6416932470462203e-06
54,0.0
54,1.5819797183685494e-05
54,0.0
54,2.636631247317713e-06
54,2.6416932470462203e-06
54,7.904841442003847e-06
54,0.0
54,2.631578947368421e-06
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
